id,ff_ratio,no_tweets,profile_has_name,no_friends,no_followers,following_rate,belongs_to_list,location,has_bio,dataset,bot
3610511,1.9674696798127388e-05,48028,1,379,4389,0.8494290690923166,0,1,1,E13_real,0
5656162,0.0019321338002656683,3225,1,400,455,0.08846976472875752,1,1,1,E13_real,0
5682702,0.0009123965167921212,4319,1,68,273,0.053092182030338386,1,1,1,E13_real,0
6067292,0.0013409260738488494,77245,1,1301,985,0.1921201482348352,1,0,1,E13_real,0
6015122,0.03951521272566595,2435,1,313,89,0.017352310391889256,1,1,0,E13_real,0
6140012,0.0010026348734969576,33586,1,1653,1284,0.2505365853658537,1,1,1,E13_real,0
6134312,0.0037341868617588782,1659,1,98,162,0.031609756097560976,1,1,1,E13_real,0
6684602,0.000850213144209257,24901,1,2374,1671,0.3274544385655497,0,0,1,E13_real,0
7046912,2.1696599041267945e-06,33726,1,1521,26477,5.2038128930817615,1,1,1,E13_real,0
8072492,0.0019857744229931774,3605,1,342,415,0.08230860769535897,1,1,1,E13_real,0
8291932,0.0007548729524071166,41522,1,1830,1557,0.3094812164579606,1,1,1,E13_real,0
8858022,0.0008485688779597722,14037,1,1038,1106,0.22093487814622453,1,1,1,E13_real,0
8927532,0.015773448410063867,2482,1,689,209,0.04177493503897661,1,1,1,E13_real,0
9351052,0.013826027652055305,538,1,223,127,0.025502008032128515,1,0,1,E13_real,0
9564632,1.1900801317486128e-05,45648,1,1518,11294,2.272891929965788,1,1,1,E13_real,0
9939012,0.0020918516984973173,24667,1,1455,834,0.16831483350151366,1,1,1,E13_real,0
9993142,0.002229555965165948,5552,1,808,602,0.1215424994952554,1,1,1,E13_real,0
10492262,0.0233,1262,1,233,100,0.020259319286871958,1,1,1,E13_real,0
11176152,0.026546938775510204,3222,1,813,175,0.03561253561253561,1,1,0,E13_real,0
13260592,0.00032307939530650686,32202,1,1721,2308,0.4750926307122272,1,1,1,E13_real,0
14057516,0.009348412170442213,3821,1,1068,338,0.06986357999173212,1,0,1,E13_real,0
14112759,0.0379866151380903,422,1,403,103,0.021333885666942838,1,0,0,E13_real,0
14492555,0.04696745562130177,372,1,127,52,0.010869565217391304,0,1,1,E13_real,0
14865840,0.000770820902798687,9321,1,1257,1277,0.26855941114616194,1,1,1,E13_real,0
14958182,0.0037535445589994922,2700,1,229,247,0.05204382638010956,1,1,1,E13_real,0
15016610,0.0043057460752934,9542,1,452,324,0.0683400126555579,1,1,1,E13_real,0
15391421,4.824243066943237e-05,33134,1,2200,6753,1.4352816153028694,1,1,1,E13_real,0
15836275,0.04315120940498176,1511,1,958,149,0.031892123287671235,1,1,1,E13_real,0
16093829,1.3768363679096308e-05,24029,1,555,6349,1.3647893379191745,1,0,1,E13_real,0
17654864,0.02733991199965825,769,1,640,153,0.033508541392904066,0,1,1,E13_real,0
17852114,0.007488593533029161,729,1,151,142,0.0311471813994297,1,1,1,E13_real,0
18173213,0.005979861935540606,6269,1,952,399,0.08776946766388033,1,1,1,E13_real,0
18527544,0.001635368458526166,30225,1,294,424,0.09357757669388657,1,1,1,E13_real,0
18671285,0.002867853340685025,25601,1,827,537,0.11864781263809104,0,1,1,E13_real,0
18735790,0.005202140309155767,1345,1,280,232,0.05128205128205128,1,1,1,E13_real,0
18800245,0.009901581267601428,2430,1,995,317,0.07008622595622374,1,1,1,E13_real,0
19598248,0.0024386484275262933,11929,1,617,503,0.11165371809101,0,1,1,E13_real,0
21102000,0.00026036032560472207,155697,1,4218,4025,0.8978362703546732,1,1,1,E13_real,0
21770069,1.0742061616465432e-05,265,1,153,3774,0.8431635388739946,1,0,0,E13_real,0
22015750,0.0004786021817630868,5687,1,4852,3184,0.7115083798882682,1,0,1,E13_real,0
22136015,0.008368054339834041,5485,1,239,169,0.03777380420205632,1,1,1,E13_real,0
22203964,2.584869476631485e-05,20572,1,639,4972,1.1115582383188016,1,1,1,E13_real,0
22508731,0.021352985638699924,838,1,339,126,0.02818791946308725,1,1,1,E13_real,0
23748269,0.015475389472594588,2794,1,299,139,0.031151949798296732,1,0,1,E13_real,0
24352106,0.007794953098163563,316,1,59,87,0.01951110114375421,1,0,1,E13_real,0
24510304,0.0012824272955736134,1343,1,223,417,0.09353970390309556,1,1,0,E13_real,0
25442408,0.0014054094690768152,2942,1,673,692,0.15540085335728726,1,0,1,E13_real,0
26771352,0.07674297606659729,359,1,295,62,0.013941983359568248,0,1,1,E13_real,0
27241975,0.004375956401514135,4557,1,163,193,0.04341957255343082,1,1,0,E13_real,0
27422705,0.013241285649615209,2828,1,468,188,0.0423042304230423,1,1,1,E13_real,0
27636956,0.0006006560335898574,4861,1,1230,1431,0.3220796758946657,1,1,1,E13_real,0
27887098,0.015724361197826338,1262,1,136,93,0.020936515083295814,1,1,1,E13_real,0
28313453,0.0015500287561895946,11664,1,442,534,0.12027027027027028,1,1,1,E13_real,0
28342883,0.0016579940822365065,8837,1,2340,1188,0.26756756756756755,1,1,1,E13_real,0
1219247983,0.26222222222222225,15,1,59,15,0.004976775049767751,0,1,0,E13_real,0
974171288,0.0035920167700235826,14399,1,658,428,0.13788659793814434,1,0,1,E13_real,0
974190704,0.002530997871037892,10146,1,831,573,0.18460051546391756,1,0,1,E13_real,0
974558708,0.029703631928898393,3780,1,889,173,0.05573453608247423,1,0,1,E13_real,0
977265403,0.003472222222222222,164,1,242,264,0.08507895584917821,1,0,1,E13_real,0
981556177,0.272,136,1,170,25,0.008061915511125443,0,0,1,E13_real,0
407818010,0.0003772321395934373,1695,1,258,827,0.23703066781312696,1,1,1,E13_real,0
120720544,9.337745679395743e-05,27642,1,7864,9177,2.2377468910021947,1,1,1,E13_real,0
187536784,1.717990024295698e-06,39143,1,88,7157,1.826697294538029,1,1,0,E13_real,0
197602470,0.004710722857441004,1385,1,316,259,0.06654676258992806,1,1,1,E13_real,0
207070244,0.00021043771043771046,112854,1,297,1188,0.3069767441860465,1,0,1,E13_real,0
216522413,4.1066409673748466e-05,31240,1,691,4102,1.0665626625065003,1,0,1,E13_real,0
259680844,0.035686728395061734,420,1,185,72,0.019246190858059342,1,0,1,E13_real,0
301919327,0.0008826092181960219,38971,1,940,1032,0.2818132168214091,1,1,1,E13_real,0
517625408,0.022976680384087792,1651,1,67,54,0.016023738872403562,1,1,1,E13_real,0
327900613,1.5141196494009262e-06,9410,1,3071,45036,12.444321635810995,1,1,1,E13_real,0
522582939,4.195486503939963e-05,296427,1,3832,9557,2.8409631391200953,1,1,1,E13_real,0
541037205,0.0007560777637208863,9315,1,707,967,0.2890017931858936,1,0,1,E13_real,0
835342567,7.778320962742554e-05,2427,1,13555,13201,4.160416010085093,1,0,0,E13_real,0
1092912044,0.009733700642791552,1310,1,265,165,0.05400981996726677,0,0,1,E13_real,0
1126202310,0.009522536670119285,1062,1,285,173,0.0568517909957279,0,0,1,E13_real,0
52491055,0.003902185223725286,14037,1,375,310,0.07126436781609195,1,1,1,E13_real,0
55532545,0.0006256904050653238,10437,1,226,601,0.13844736235890348,1,1,1,E13_real,0
16043064,0.006281122679945677,42453,1,222,188,0.040378006872852236,1,1,1,E13_real,0
20308222,0.0008573632743270575,27488,1,1028,1095,0.24365821094793055,1,1,1,E13_real,0
33747826,0.0625,97,1,25,20,0.004523863379325943,1,1,1,E13_real,0
45314390,0.012365362811791384,19265,1,349,168,0.03840877914951989,1,1,1,E13_real,0
48665791,0.0016575309967660976,48122,1,531,566,0.12975699220541034,1,1,1,E13_real,0
52108988,0.0017009602194787382,10898,1,124,270,0.06205470006894968,1,1,1,E13_real,0
83811813,0.00025157916097437563,87889,1,4964,4442,1.0478886529841944,1,1,1,E13_real,0
91866745,0.0006095724913888705,31852,1,332,738,0.17550535077288942,1,1,1,E13_real,0
111628975,0.0076214980824427766,27770,1,1564,453,0.10968523002421307,1,1,1,E13_real,0
114849265,0.0017727028216538703,12906,1,145,286,0.06943432872056324,0,1,1,E13_real,0
168791182,0.0032100804518088327,9458,1,241,274,0.0691046658259773,0,1,1,E13_real,0
177299735,0.001036378278071496,52730,1,740,845,0.21430382957139235,1,0,1,E13_real,0
197400952,0.02700831024930748,1000,1,39,38,0.009761109684048292,0,1,1,E13_real,0
222579656,0.0004125387139875253,34503,1,268,806,0.21049882475842255,1,1,1,E13_real,0
233959454,0.0005820976523520247,29321,1,1197,1434,0.3775671406003159,0,1,1,E13_real,0
252688673,0.022684310018903597,7994,1,300,115,0.030625832223701733,0,1,1,E13_real,0
255559955,0.00038114459818742845,3881,1,491,1135,0.3027473993064817,1,1,1,E13_real,0
278618602,0.0013713045727733256,5151,1,546,631,0.17035637149028074,1,1,1,E13_real,0
295578583,0.0001807314597861808,3704,1,169,967,0.2632725292676286,1,1,1,E13_real,0
318949971,0.010793650793650795,813,1,119,105,0.02889378095762245,1,1,1,E13_real,0
333960904,0.01025390625,12379,1,672,256,0.07093377666943752,1,1,1,E13_real,0
337321477,0.015505350772889415,179,1,1304,290,0.08048848182070496,1,1,1,E13_real,0
372460791,8.24339098542489e-05,89350,1,2490,5496,1.5499153976311335,1,1,1,E13_real,0
382247829,0.010158730158730159,1931,1,112,105,0.02975347123831113,0,1,1,E13_real,0
80479674,0.7485714285714286,44,1,917,35,0.008231420507996237,1,1,0,TWT_bot,1
82487179,0.02782006920415225,1411,1,804,170,0.04005655042412818,0,0,0,TWT_bot,1
105830531,0.07298558601134215,180,1,2471,184,0.04434803567124608,0,1,1,TWT_bot,1
114488344,0.123046875,78,1,126,32,0.007765105556903664,1,1,0,TWT_bot,1
367651000,0.16,5,1,36,15,0.004219409282700422,0,0,1,TWT_bot,1
10935572,0.006364140577873681,986,1,1572,497,0.10097521332791548,1,1,1,TWT_bot,1
17640121,0.2303719008264463,567,1,446,44,0.00963433326034596,0,1,1,TWT_bot,1
17656600,0.0006265227984684997,460,1,765,1105,0.24200613228208495,1,1,1,TWT_bot,1
19230427,0.5102040816326531,124,1,225,21,0.004654255319148936,0,1,1,TWT_bot,1
21196037,0.07406783940745729,90,1,880,109,0.02431407539594022,1,0,0,TWT_bot,1
21375100,0.003163405279807396,236,1,113,189,0.04217808524882839,1,1,1,TWT_bot,1
25836383,0.009347366397539407,671,1,1556,408,0.09168539325842696,1,1,1,TWT_bot,1
27662686,0.10820451843043996,56,1,91,29,0.0065271213144271895,0,0,0,TWT_bot,1
30428221,0.033637152777777776,800,1,310,96,0.021665538253215974,0,0,0,TWT_bot,1
33438880,2.70414201183432,7,1,457,13,0.002939846223428313,0,0,0,TWT_bot,1
33869550,0.2275,9,1,91,20,0.004523863379325943,1,0,0,TWT_bot,1
34589722,2.25,25,1,576,16,0.003620728671645168,0,0,0,TWT_bot,1
35959749,5.463132876896763e-05,20678,1,2237,6399,1.4497054825555051,1,1,1,TWT_bot,1
36299291,0.4161352040816326,6,1,1305,56,0.012689780194878769,0,1,1,TWT_bot,1
38520305,5.632653061224491,170,1,276,7,0.0015894641235240689,0,0,0,TWT_bot,1
39321660,0.056436441816715935,3114,1,210,61,0.013863636363636364,1,1,1,TWT_bot,1
39328305,0.0022271816256378405,485,1,979,663,0.1506818181818182,1,1,1,TWT_bot,1
40010436,0.4814814814814815,14,1,156,18,0.004092769440654843,1,1,1,TWT_bot,1
44091292,1.4182825484764543,31,1,512,19,0.004338890157570221,0,1,1,TWT_bot,1
46071929,0.0146484375,2687,1,15,32,0.0073209791809654545,1,1,1,TWT_bot,1
46609919,19.25,0,1,308,4,0.0009155413138017852,0,0,0,TWT_bot,1
48638750,0.050118006386227966,552,1,1083,147,0.03370013755158184,1,1,1,TWT_bot,1
50449844,0.2787422839506173,819,1,1445,72,0.016528925619834708,1,1,0,TWT_bot,1
50660716,5.890625,332,1,1508,16,0.003673094582185491,0,0,0,TWT_bot,1
54244742,0.09075285874809967,139,1,1373,123,0.028314917127071824,1,1,0,TWT_bot,1
55398486,0.12188208616780045,7121,1,215,42,0.009675190048375951,0,1,0,TWT_bot,1
55825155,3.6193771626297577,13,1,1046,17,0.00391705069124424,0,1,1,TWT_bot,1
56232036,0.1386593204775023,342,1,604,66,0.01521438450899032,0,1,1,TWT_bot,1
57757511,0.3047091412742382,14,1,110,19,0.00438495268866836,0,1,0,TWT_bot,1
59989426,0.016296966953372568,3050,1,144,94,0.02172907998150717,1,1,0,TWT_bot,1
60346119,0.005017527815881725,3189,1,823,405,0.09366327474560593,0,1,1,TWT_bot,1
62204600,0.08136094674556213,122,1,55,26,0.006021306160259379,1,0,1,TWT_bot,1
63417814,0.11769600591715974,109,1,1273,104,0.02410755679184052,0,0,0,TWT_bot,1
64891773,2.204081632653061,15,1,972,21,0.0048746518105849575,1,1,1,TWT_bot,1
66984417,0.0006235191420376606,29312,1,55,297,0.06905370843989769,1,0,0,TWT_bot,1
67946273,4.256198347107438,6,1,515,11,0.0025599255294391442,0,0,0,TWT_bot,1
69412978,0.010772705078125,363,1,706,256,0.05964585274930102,1,1,1,TWT_bot,1
72186699,0.006548053845351142,4208,1,1757,518,0.12097150864082205,1,1,1,TWT_bot,1
72348749,0.28858154832180805,243,1,1711,77,0.01798645176360663,0,1,1,TWT_bot,1
72835654,0.09623582766439907,894,1,1061,105,0.02453271028037383,1,0,0,TWT_bot,1
73766975,0.01078971533516988,87,1,47,66,0.015434985968194575,0,0,0,TWT_bot,1
75683534,0.1024,12,1,64,25,0.005856172405715624,0,1,1,TWT_bot,1
77243796,16.171875,19,1,1035,8,0.001876172607879925,0,1,0,TWT_bot,1
77293750,6.213017751479289,25,1,1050,13,0.0030494956603330987,1,1,1,TWT_bot,1
77350242,0.1618923611111111,475,1,1492,96,0.022519352568613645,0,1,1,TWT_bot,1
77668831,7.75206611570248,6,1,938,11,0.002580947911778508,0,1,1,TWT_bot,1
79749293,2.8181818181818183,108,1,1364,22,0.005170387779083431,0,0,0,TWT_bot,1
84539426,4.5069444444444455,42,1,649,12,0.0028328611898017,0,1,0,TWT_bot,1
88517573,0.2368,495,1,1332,75,0.0177767243422612,1,1,0,TWT_bot,1
88563527,1.3420138888888888,278,1,773,24,0.0056885517895235846,1,1,1,TWT_bot,1
